expected error: 0.049561	observerd error: 0.051165
expected error: 0.069703	observerd error: 0.042112
expected error: 0.056934	observerd error: 0.048129
expected error: 0.058484	observerd error: 0.037610
expected error: 0.065469	observerd error: 0.048505
expected error: 0.070161	observerd error: 0.049369
expected error: 0.071546	observerd error: 0.047016
expected error: 0.062161	observerd error: 0.048727
expected error: 0.068546	observerd error: 0.052584
expected error: 0.069969	observerd error: 0.036286
expected error: 0.057280	observerd error: 0.056492
expected error: nan	observerd error: 0.053615
expected error: 0.073703	observerd error: 0.038772
expected error: nan	observerd error: 0.040473
expected error: 0.076257	observerd error: 0.046187
expected error: 0.064623	observerd error: 0.044815
expected error: 0.066258	observerd error: 0.074277
expected error: 0.063627	observerd error: 0.048694
expected error: 0.062950	observerd error: 0.042454
expected error: 0.064815	observerd error: 0.060703
expected error: 0.071143	observerd error: 0.034375
expected error: nan	observerd error: 0.072954
expected error: 0.049797	observerd error: 0.045253
expected error: 0.052430	observerd error: 0.055229
expected error: 0.068703	observerd error: 0.051867
expected error: 0.062223	observerd error: 0.042512
expected error: 0.067084	observerd error: 0.042488
expected error: 0.052700	observerd error: 0.040742
expected error: 0.059357	observerd error: 0.052441
expected error: 0.061642	observerd error: 0.039209
expected error: 0.074084	observerd error: 0.043874
expected error: 0.067819	observerd error: 0.041302
expected error: 0.057342	observerd error: 0.044975
expected error: 0.066638	observerd error: 0.059792
expected error: 0.074638	observerd error: 0.043930
expected error: 0.055989	observerd error: 0.048315
expected error: 0.056720	observerd error: 0.052757
expected error: 0.064007	observerd error: 0.041762
expected error: 0.065046	observerd error: 0.044900
expected error: 0.059147	observerd error: 0.053046
expected error: 0.056430	observerd error: 0.047161
expected error: 0.074177	observerd error: 0.051900
expected error: 0.057315	observerd error: 0.064427
expected error: 0.058177	observerd error: 0.039291
expected error: 0.045080	observerd error: 0.041499
expected error: 0.064661	observerd error: 0.044463
expected error: 0.062665	observerd error: 0.056158
expected error: 0.063608	observerd error: 0.047450
expected error: 0.058200	observerd error: 0.038675
expected error: 0.053634	observerd error: 0.047030
expected error: 0.050604	observerd error: 0.056780
expected error: 0.063892	observerd error: 0.042904
expected error: 0.070877	observerd error: 0.046175
expected error: 0.059107	observerd error: 0.055043
expected error: 0.065930	observerd error: 0.049031
expected error: 0.057084	observerd error: 0.031689
expected error: 0.061007	observerd error: 0.046008
expected error: 0.059470	observerd error: 0.064430
expected error: 0.068161	observerd error: 0.044309
expected error: 0.055930	observerd error: 0.047256
expected error: 0.054853	observerd error: 0.042827
expected error: 0.044253	observerd error: 0.057819
expected error: 0.075546	observerd error: 0.053930
expected error: 0.050181	observerd error: 0.034711
expected error: 0.072638	observerd error: 0.048706
expected error: 0.067835	observerd error: 0.055781
expected error: 0.067450	observerd error: 0.039072
expected error: 0.058277	observerd error: 0.039133
expected error: 0.067165	observerd error: 0.043974
expected error: 0.065188	observerd error: 0.036306
expected error: 0.052550	observerd error: 0.054862
expected error: 0.058208	observerd error: 0.059158
expected error: 0.046084	observerd error: 0.053261
expected error: 0.068647	observerd error: 0.059537
expected error: 0.041845	observerd error: 0.050757
expected error: 0.062661	observerd error: 0.051686
expected error: 0.076969	observerd error: 0.035973
expected error: 0.062588	observerd error: 0.053023
expected error: 0.062123	observerd error: 0.062330
expected error: 0.060507	observerd error: 0.047020
expected error: 0.062604	observerd error: 0.071765
expected error: 0.054688	observerd error: 0.053853
expected error: 0.059720	observerd error: 0.052492
expected error: 0.054123	observerd error: 0.035935
expected error: 0.049853	observerd error: 0.068930
expected error: 0.073204	observerd error: 0.044339
expected error: 0.070034	observerd error: 0.040626
expected error: 0.049700	observerd error: 0.057191
expected error: 0.060185	observerd error: 0.049832
expected error: 0.065623	observerd error: 0.038430
expected error: 0.070273	observerd error: 0.048550
expected error: 0.061334	observerd error: 0.048220
expected error: 0.072123	observerd error: 0.044146
expected error: 0.056065	observerd error: 0.043634
expected error: 0.058896	observerd error: 0.053561
expected error: 0.040527	observerd error: 0.046043
expected error: 0.074177	observerd error: 0.056491
expected error: 0.066697	observerd error: 0.047132
expected error: 0.053681	observerd error: 0.048543
expected error: nan	observerd error: 0.060265
expected error: 0.070258	observerd error: 0.037645
expected error: 0.060161	observerd error: 0.033717
expected error: 0.064353	observerd error: 0.052757
expected error: 0.057177	observerd error: 0.037896
expected error: 0.052950	observerd error: 0.049536
expected error: 0.055084	observerd error: 0.047883
expected error: 0.072623	observerd error: 0.035966
expected error: 0.076330	observerd error: 0.046662
expected error: 0.047191	observerd error: 0.051799
expected error: 0.072238	observerd error: 0.050898
expected error: 0.056954	observerd error: 0.061561
expected error: 0.056392	observerd error: 0.046744
expected error: 0.066066	observerd error: 0.048723
expected error: 0.049681	observerd error: 0.056161
expected error: 0.062300	observerd error: 0.032986
expected error: 0.061892	observerd error: 0.069181
expected error: 0.048238	observerd error: 0.042829
expected error: 0.068411	observerd error: 0.045073
expected error: 0.047742	observerd error: 0.047408
expected error: 0.052165	observerd error: 0.059738
expected error: 0.062123	observerd error: 0.046569
expected error: 0.059853	observerd error: 0.060516
expected error: 0.050892	observerd error: 0.044007
expected error: nan	observerd error: 0.038627
expected error: 0.070277	observerd error: 0.036897
expected error: 0.071550	observerd error: 0.039115
expected error: 0.043469	observerd error: 0.044273
